Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1154w - 11;14814007;"Walter, Hans-Hubert: Padberg : Struktur und Stellung einer Bergsiedlung in Grenzlage / von Hans-Hubert Walter (Siedlung... ; 11 : Landesku... ; 11)";"Siedlung und Landschaft in Westfalen ; 11";
P 1154w - 12;208733004;"Flurbereinigung und Kulturlandschaftsentwicklung : Vorträge auf der Arbeitstagung des Verbandes Deutscher Hochschulgeographen in Borken-Gemen 19./20.1.1979... (Landeskundliche... : Reihe Si... ;  12)";;
P 1154w - 13;14812006;"Sieverding, Wolfgang: Benstrup und Holtrup : zur Genese und Organisation bäuerlicher -trup-Siedlungen in Altwestfalen / von Wolfgang Sieverding (Siedlung und Landschaft in W... ; 13)";"Siedlung und Landschaft in Westfalen ; 13";
P 1154w - 13(Ers.Ex.);14812007;"Sieverding, Wolfgang: Benstrup und Holtrup : zur Genese und Organisation bäuerlicher -trup-Siedlungen in Altwestfalen / von Wolfgang Sieverding (Siedlung und Landschaft in W... ; 13)";"Siedlung und Landschaft in Westfalen ; 13";
P 1154w - 14;14811006;"Bertelsmeier, Elisabeth: Bäuerliche Siedlung und Wirtschaft im Delbrücker Land / von Elisabeth Bertelsmeier (Siedlung und La... : Landesku... ; 14)";;
P 1154w - 15;220222005;Nolting, Manfred: Der öffentliche Personennahverkehr im nordwestdeutschen Küstenland : seine Entwicklung seit 1960 und räumliche Ordnung (Landeskundliche...)(Schriftenreihe ...);;
P 1154w - 16;226402004;"Steinberg, Heinz Günter: Das Ruhrgebiet im 19. und 20. Jahrhundert : ein Verdichtungsraum im Wandel (Landeskundliche... : Reihe Si... ;  16)";;
P 1154w - 17;227144006;"Vegetationsgeographische Studien in Nordrhein-Westfalen : Wald- und Siedlungsentwicklung ; Bauerngärten ; spontane Flora (Siedlung und Landschaft in W... ; 17)";"Siedlung und Landschaft in Westfalen ; 17";
P 1154w - 18;225439009;"Siekmann, Mechthild: Die Stadt Münster um 1770 : eine räumlich-statistische Darstellung der Bevölkerung, Sozialgruppen und Gebäude = Die... (Siedlung und Landschaft in W... ; 18)";"Siedlung und Landschaft in Westfalen ; 18";
P 1154w - 19;1102669007;"Riepenhausen, Hans: Die bäuerliche Siedlung des Ravensberger Landes bis 1770 / von Hans Riepenhausen - 2. Aufl. (Siedlung und Landschaft in W... ; 19)";;
P 1154w - 2;14810003;"Wöhlke, Wilhelm: Die Kulturlandschaft des Hardehausener und Dalheimer Waldes im Mittelalter / von Wilhelm Wöhlke (Siedlung und La... : Landesku... ; 2)";;
P 1154w - 20;202879006;"Beiträge zur Kartographie in Nordwestdeutschland : die Karte als Arbeits- und Forschungsmittel in verschiedenen Berufsfeldern (Siedlung und Landschaft in W... ; 20)";;
P 1154w - 21;230103006;"Wiegelmann-Uhlig, Edith: Berufspendler in Westfalen 1930 - 1970 : ein Beitrag zur historischen Mobilität / von Edith Wiegelmann-Uhlig (Siedlung und Landschaft in W... ; 21)";;
P 1154w - 22;229877007;"Westfalen im Geographieunte... / von Friedrich Becks ... (Siedlung und Landschaft in W... ; 22)";;3-87023-062-2
P 1154w - 23;215687007;"Geographische Kommission für Westfalen: 60 Jahre Geographische Kommission für Westfalen : Entwicklung, Leistungen, Mitglieder, Literaturdokumentation / A. Mayr ... (Hg.) (Siedlung und Landschaft in W... ; 23)";;
P 1154w - 24;5995009;"Schlusemann, Ralf: Ein GIS-gestütztes Verfahren zur Flächenausweisung für Windkraftanlagen / von Ralf Schlusemann (Siedlung... ; 24 : Schrifte... ; 24)";"Siedlung und Landschaft in Westfalen ; 24";
P 1154w - 25;13903008;"Stockmann, Clara ; Stockmann, Antonius: Die Saline ""Gottesgabe"" in Rheine : ein Beitrag zur Salzgewinnung und Salzvermarktung in Westfalen / Clara und Antonius... (Siedlung und La... : Schrifte... ; 25)";Siedlung und Landschaft in Westfalen;
P 1154w - 26;18548007;"Hübschen, Christian: Aufgegebene Eisenbahntrassen in Westfalen : heutige Nutzung und Möglichkeiten neuer Inwertsetzung / von Christian Hübschen (Siedlung... ; 26 : Schrifte... ; 26)";"Siedlung und Landschaft in Westfalen ; 26";
P 1154w - 27;113637011;"Burggraaff, Peter: Fachgutachten zur Kulturlandschaftspflege in Nordrhein-Westfalen / Im Auftrag des Ministeriums für Umwelt, Raumordnung... (Siedlung und Landschaft in W... ; 27)";;3-87023-164-5
P 1154w - 28;113638012;"Harteisen, Ulrich: Die Senne : Eine historisch-ökologische Landschaftsanalyse als Planungsinstrument im Naturschutz / von Ulrich Harteisen (Siedlung und Landschaft in W... ; 28)";"Siedlung und Landschaft in Westfalen ; 28";3-87023-165-3
P 1154w - 29;19627010;"Pollmann, William: Die Buchenwaldgesellschaften im nordwestlichen Weserbergland / von William Pollmann (Siedlung und Landschaft in W... ; 29)";;
P 1154w - 3;221319005;"Platt, Robert S.: A geographical study of the Dutch-German border / by Robert S. Platt. Uebers. v. Elisabeth Bertelsmeier (Landeskundliche... : Reihe Si... ;  3)";;
P 1154w - 30,1;616574006;Geographische Erkundungen im Umfeld von Münster 1. Geographische Erkundungen in den Baumbergen. - 2001. - VIII, 219 S.;;
P 1154w - 30,2;616575002;Geographische Erkundungen im Umfeld von Münster 2. Geographische Erkundungen am Stadtrand von Münster. - 2001. - VIII, 147 S. : Ill., Kt.;;
P 1154w - 31;20540003;"Bremer, Eckhard: Die Nutzung des Wasserweges zur Versorgung der römischen Militärlager an der Lippe / Eckhard Bremer (Veröffen... ; 12)(Siedlung u... ; 31)";"Veröffentlichungen der Altertumskommission für Westfalen ; 12";3-402-05037-4
P 1154w - 32;23801005;"Geographische Kommission <Westfalen, Münster>: Strukturen und Perspektiven der Emscher-Lippe-Region im Ruhrgebiet / Heinz Heineberg ... (Hg.) (Siedlung und Landschaft in W... ; 32)";;3-402-06318-2
P 1154w - 33;124788004;Schelter, Martin: Öffentlicher Personen(inter)regionalverkehr - Angebotsplanung und Landesplanung : Möglichkeiten der Integration landesplanerischer Ziele - aufgezeigt an Beispielen aus der Großregion Westfalen... (Siedlung und Landschaft in W... ;;3-402-06319-0
P 1154w - 34;1510324003;"Seraphim, Ernst Th. ; Meschede, Winfried: Linienbandkeramiker beiderseits des Ederbaches bei Hohenwepel/Großeneder in der Warburger Börde : Fundgut, Rohstoffe und Wirtschaftsraum... (Siedlung und Landschaft in W... ; 34)";;978-3-402-06320-0
P 1154w - 35;1508836007;"Westfalen regional [1].  - 2007. - XII, 340 S. : Ill., graph. Darst. + 1 CD-ROM (Siedlung und Landschaft in Westfalen ; 35)";"Siedlung und Landschaft in Westfalen ; 35";978-3-402-06321-7
P 1154w - 36;1507205004;"Geographische Landeskunde für Westfalen-Lippe : 70 Jahre geographische Kommission für Westfalen - eine Zwischenbilanz (Siedlung und Landschaft in W... ; 36)";"Siedlung und Landschaft in Westfalen ; 36";3-402-06322-0
;1593365009;;"Siedlung und Landschaft in Westfalen ; 37";978-3-402-14830-3
;1645077011;;"Siedlung und Landschaft in Westfalen ; 38";978-3-402-14832-7
;1664171011;;"Siedlung und Landschaft in Westfalen ; 39";978-3-402-14833-4
P 1154w - 4;222929002;"Dörfer im oberen Weserbergland / Anneliese Ringleb  (Landesku... ; 4 : Reihe Si... ;  4)";"Landeskundliche Karten und Hefte der Geographischen Kommission für Westfalen ; 4";
;1705162008;;"Siedlung und Landschaft in Westfalen ; 40";978-3-402-14834-1
;1743175009;;"Siedlung und Landschaft in Westfalen ; 41";978-3-402-14835-8
P 1154w - 5;14809005;"Müller-Wille, Michael: Eisenzeitliche Fluren in den festländischen Nordseegebieten / Michael Müller-Wille (Siedlung und La... : Landesku... ; 5)";;
P 1154w - 6;14808006;"Brand, Friedrich: Zur Genese der ländlich-agraren Siedlungen im lippischen Osning-Vorland / von Friedrich Brand (Siedlung und Landschaft in W... ; 6)";"Siedlung und Landschaft in Westfalen ; 6";
P 1154w - 7;14807003;"Sönnecken, Manfred: Die mittelalterliche Rennfeuerverhüttung im märkischen Sauerland : Ergebnisse von Geländeuntersuchungen und Grabungen (Lenadesk... ; 7 : Landesku... ; 7)";"Landeskundliche Karten und Hefte der Geographischen Kommission für Westfalen / Reihe: Siedlung und Landschaft in Westfalen ; 7";
P 1154w - 8;14806006;"Burrichter, Ernst: Die potentielle natürliche Vegetation in der Westfälischen Bucht : Erläuterungen zur Übersichtskarte 1 : 200000 (Siedlung und La... : Landesku... ; 8)";;
P 1154w - 9;14816005;"Temlitz, Klaus: Aaseestadt und Neu-Coerde : Bildstrukturen neuer Wohnsiedlungen in Münster und ihre Bewertung / von Klaus Temlitz (Landeskundliche Karten und H... ; 9)";"Landeskundliche Karten und Hefte der Geographischen Kommission für Westfalen ; 9";
P 1154y;1591352001;"Kasas, Savas ; Struckmann, Reinhard: Wichtige Heilstätten der Antike : Epidauros und Korinth :... / Savas Kasas ; Reinhard Struckmann";;
P 1155;1591526001;"Kaschnitz von Weinberg, Guido: Die mittelmeerischen Grundlagen der antiken Kunst / Guido Frhr von Kaschnitz-Weinberg (Die Grundlagen der antiken... ; 1)";"¬Die¬ Grundlagen der antiken Kunst ; 1";
P 1155s;1591527001;"Kasser, Rodolphe ; Strahm, Christian: Yverdon : Histoire d'un sol et d'un site avec la cité qu'ils ont fait naître / Rodolphe Kasser ; Christian Strahm (Eburodunum ; 1)";"Eburodunum ; 1";
P 1156;1591528001;"Kasseroler, Alfons: Die vorgeschichtliche Niederlassung auf dem 'Himmelreich' bei Wattens / Alfons Kasseroler (Wattener... ; 2)(Schlern-Sch... ; 166)";"Wattener Buch ; 2";
P 1156c;1591529001;"Kasseroler, Alfons: Das Urnenfeld von Volders : Mit 70 Bildtaf. u. Lageplan d. Gräber / Alfons Kasseroler (Schlern-Schriften ; 204)";"Schlern-Schriften ; 204";
P 1156f;1591532001;Situlenkunst : Meisterschöpfungen prähistorischer Bronzearbeit / Joze Kastelic. Mit Beitr. von Karl Kromer u. Guido A. Mansuelli;;
P 1156fb;1591538001;"Kastelic, Joze ; Skerlj, Bozo: Slovanska nekropola na Bledu : arheolsko in antropolsko porcilo za leto 1948 / Joze Kastelic ; Bozo Skerlj (Slovenska Akademija Znanosti... ; 2)";"Slovenska Akademija Znanosti in Umetnosti : Razred za Zgodovinske in Druzbene Vede ;  2";
P 1156fc;1591539001;La Situla de Vace / texte de Joze Kastelic. [Photographies: Mirko Pukl];;
P 1156h;1591543001;Kater, Michael Hans: Das 'Ahnenerbe' der SS. 1935-1945. Ein Beitrag zur Kulturpolitik des Dritten Reiches / Michael H. Kater (Studien zur Zeitgeschichte);Studien zur Zeitgeschichte;3-421-01623-2
P 1156k - 1;22748002;Deutsche Altertumskunde Bd. 1. Von der Urzeit bis zur Völkerwanderung. - 1913. - XIII, 508 S. : Abb.;;
P 1156k - 2;22749002;Deutsche Altertumskunde Bd. 2. Von der Völkerwanderung bis zur Reichsgründung. - 1923. - VI, 711 S. : Abb.;;
P 1156m - 1;214713002;Kaufmann, Henning : Westdeutsche Ortsnamen 1.  - 1958. - 301 S.;;
P 1156mb;1591548001;Kaufmann, Henning: Rheinhessische Ortsnamen : die Städte, Dörfer, Wüstungen, Gewässer und Berge der ehemaligen Provinz Rheinhessen und die sprachgeschichtliche Deutung ihrer Namen;;
P 1156mc - 1;1591551001;Grundfragen der Namenkunde 1. Bildungsweise und Betonung der deutschen Ortsnamen. - 1959. - 112 S.;;
P 1156mo - 1;1591553001;Kreuz und Rune 1. Werdezeit. - Neubearb. - 1964. - 131 S. : Ill.;;
P 1156mo - 2;1591554001;Kreuz und Rune 2. Reifezeit. - Neubearb. - 1965. - 146 S. : Ill., Kt.;;
P 1156n;1591556001;"Kazmierczyk, Józef: Podkowy na Slasku w X - XIV wieku : studia z dziejów kultury materialnej / Józef Kazmierczyk (Prace Komisji Nauk Humanisty... ; 9)";"Prace Komisji Nauk Humanistycznych ; 9";
P 1156nm;1591557001;Keeley, Lawrence H.: Experimental determination of stone tool uses : a microwear analysis / Lawrence H. Keeley (Prehistoric archaeology and ecology);Prehistoric archaeology and ecology;
P 1156ns;1591560001;Kehnscherper, Günther: ... und die Sonne verfinsterte sich : die Santorinkatastrophe und die archäologischen Forschungen um das letzte Buch der Bibel / Günther Kehnscherper - Durchges....;;3-511-09099-7
P 1156ob;1591563001;Keiling, Horst: Die staatlich geschützten Bodenaltertümer des Bezirkes Schwerin / von Horst Keiling;;
P 1156p;1591574001;"Keiling, Horst: Parum, Kreis Hagenow - ein Langobardenfriedhof des 1. Jahrhunderts / Horst Keiling (Materialhefte zur Ur- und Fr... ; 1)";"Materialhefte zur Ur- und Frühgeschichte Mecklenburgs ; 1";
P 1156r;1591576001;Keiller, Alexander: Windmill Hill and Avebury : excavations by Alexander Keiller, 1925-1939 / Alexander Keiller;;
P 1157;1591591001;"Angst, Ralf: Ursprung des Menschen : Städt. Museen Heilbronn Deutschhof 18. März bis 5. Juni 1988 / Ralf Angst - 3. Aufl. (Heilronner Museumskatalog. R... ; 32)";"Heilronner Museumskatalog. Reihe Erd- und Landschaftsgeschichte ; 32";
P 1158;1591592001;"Keller, Josef: Die Alb-Hegau-Keramik der älteren Eisenzeit / Josef Keller (Tübinger Forschungen zur Arc... ; 18)";"Tübinger Forschungen zur Archäologie und Kunstgeschichte ; 18";
P 1158b;1591593001;Keller, Josef: Das keltische Fürstengrab von Reinheim : Ausgrabungsbericht und Katalog der Funde / Josef Keller;;
P 1158g;1591595001;"Keller, Klaus: Das Römerlager auf dem Burghügel in Bergkamen-Oberaden  / Klaus Keller;  [Hrsg. vom Heimatmuseum d. Stadt Bergkamen] (Bergkamen gestern und heute ; 7)";"Bergkamen gestern und heute ; 7";
P 1158m;1591597001;"Keller-Tarnuzzer, Karl ; Reinerth, Hans: Urgeschichte des Thurgaus : ein Beitrag zur Schweizerischen Heimatkunde / von Karl Keller-Tarnuzzer und Hans Reinerth";;
P 1158n;1591598001;Kellner, Hans-Jörg: Die Römer in Bayern / Hans-Jörg Kellner;;3-7991-5676-3
P 1158nb;1591600001;"Kellner, Hans Jörg: Die Bildstempel von Westerndorf : Comitialis und Iassus / Hans Jörg Kellner (Rei Cretariae Romanae Fautor... ; 6)";"Rei Cretariae Romanae Fautorum acta : Supplementa ; 6";
P 1158os;1526004002;Die Kelten in Baden-Württemberg / Hrsg. von Kurt Bittel ... Unter Mitarb. von Rolf-Heiner Behrends. Red. Gabriele Süsskind;;3-8062-0211-7
P 1158p;1591602001;"Kelten und Germanen in heidnischer Zeit / von  Hans Jürgen Eggers, Ernest Will, Rene Joffray, Wilhelm Holmcvist (Kunst der Welt / Serie 02 ; Bd. 10)";"Kunst der Welt / Serie 02 ; Bd. 10";
P 1158r;1594856001;Keltenforschung in Südthüringen / hrsg. vom Museum für Ur- und Frühgeschichte Thüringens, Weimar ... durch Rudolf Feustel;;
P 1158sk;1594857001;Kemble, John Mitchell: Anglo-Saxon Runes / J. M. Kemble;;0-903681-07-2
P 1158sw;1594858001;"Kemenczei, Tibor: Das mittelbronzezeitliche Gräberfeld von Gelej / von Tibor Kemenczei (Régészeti füzetek : Széria 2 ; 20)";"Régészeti füzetek : Széria 2 ; 20";
P 1158sz;1594859001;"Doorselaer, André van ; Putman, Robert ; Gucht, Katrien van der: De Kemmelberg een Keltische bergvesting : voorstelling van het aarden vaatwerk / André van Doorselaer ; Robert Putman... (Westvlaamse Archaeologica Mo... ; 03)";"Westvlaamse Archaeologica Monografieën ; 03";
P 1158tw - 1;406012001;"Het Kempenprojekt [1].  - [1982]. - 134 S. : Ill. (Bijdragen tot de s... ; 22)(IPP publikatie ;  306)";;90-70197-11-1
P 1158tw - 2;1594864001;"Het Kempenprojekt 2. Een regionaal-archeologisch onderzoek in uitvoering. - 1985. - 93 S., Abb (Bijdragen tot de Studie van het Brabantse Heem ; 27)";"Bijdragen tot de Studie van het Brabantse Heem ; 27";90-70179-41-5
P 1158tw - 3;1594867001;"Het Kempenprojekt 3. De middeleeuwen centraal. - 1989. - 264 p. : ill. ; 27 cm + 4 krt in omslag (Bijdragen tot de Studie van het Brabantse Heem ; 38)";"Bijdragen tot de Studie van het Brabantse Heem ; 38";90-70179-41-5
P 1158v;1506439003;"Kemper, Heinrich: Untersuchungen auf dem Gelände der Dechanei St. Bartholomäus / Heinrich Kemper (Beiträge zur Ahlener Stadtge... ; 3)";;
P 1158z;1594868001;Kendrick, Thomas Downing: British antiquity / T. D. Kendrick - Repr. (Methuen Library Reprints);Methuen Library Reprints;
P 1158zd;1594869001;Kendrick, Thomas Downing: Anglo-Saxon art to A.D. 900 / by T. D. Kendrick - Reprint.;;0-06-480457-7
P 1159;1594870001;Kendrick, Thomas Downing: Late Saxon and Viking art / by T. D. Kendrick;;
P 1159d;1594871001;"Kenk, Roman: Früh- und hochmittelalterliche Gräber von Kudyrge im Altai / Roman Kenk (Materialien zur allgemeinen ... ; 3/4)";"Materialien zur allgemeinen und vergleichenden Archäologie ; 3/4";3-406-09204-7
P 1159f;1594872001;"Kenner, Hedwig: Die römischen Wandmalereien des Magdalensberges / Von Hedwig Kenner (Kärntner... ; 70)(Archäologi... ; 8)";"Kärntner Museumsschriften ; 70";3-900575-00-2
P 1159g;1594873001;Kennett, David H.: Anglo-Saxon pottery / [by] David H. Kennett (Shire archaeology);Shire archaeology;0-85263-424-2
P 1160;1594874001;Kern, Fritz: Stammbaum und Artbild der Deutschen und ihrer Verwandten : ein kultur- und rassengeschichtlicher Versuch / von Fritz Kern;;
P 1161;1594875001;"Hausgeschichten :... / hrsg. von Albrecht Bedal und Isabella Fehle (Kataloge des Hällisch-Fränki... ; 8)";Kataloge des Hällisch-Fränkischen Museums Schwäbisch Hall , 8;3-7995-3310-9
P 1162;1594876001;"Kerschensteiner, Jula: Die mykenische Welt in ihren schriftlichen Zeugnissen / Jula Kerschensteiner - 1. Aufl. (Tusculum-Schriften ; 1970)";"Tusculum-Schriften ; 1970";3-7765-2095-7
P 1163;1594879001;"Kersten, Karl: Zur älteren nordischen Bronzezeit / Karl Kersten (Forschungen zur Vor- und Frü... ; 3)";"Forschungen zur Vor- und Frühgeschichte aus dem Museum Vorgeschichtlicher Altertümer in Kiel ; 3";
P 1163b;1594880001;"Kersten, Karl: Die Funde der älteren Bronzezeit in Pommern / von Karl Kersten (Atlas der Urgeschichte / Bei... ; 7)";"Atlas der Urgeschichte / Beiheft ; 7";
P 1163k;1594882001;"Kersten, Walter ; Neuffer, Eduard: Bilder zur rheinischen Vorgeschichte / Walter Kersten ; Eduard Neuffer";;
P 1164;1594883001;"E. Marianne Stern ; Schlick-Nolte, Birgit: Frühes Glas der alten Welt : 1600 v.Chr. - 50 n.Chr. ; Sammlung Ernesto Wolf ( im Würtemb. Landesmuseum Stuttgart) / E. Marianne Stern ; Birgit Schlick-Nolte";;3-7757-0502-3
P 1165;1594885001;Riemann, Robert: Beiträge zu Thüringens Frühgeschichte / Robert Riemann (Blaue Reihe);Blaue Reihe;3-922541-27-5
P 1166;1594887001;Kesting, Hermann: Der Befreier Arminius im Lichte der geschichtlichen Quellen / Hermann Kesting - 3., erw....;;
P 1166a;402966002;Kesting, Hermann: Der Befreier Arminius im Lichte der geschichtlichen Quellen und der wissenschaftlichen Forschung / von Hermann Kesting - 5. erw....;;
P 1167;1594889001;Kesting, Hermann: Der Befreier Arminius im Lichte der geschichtlichen Quellen : Anhang: Geschichte des Hermannsdenkmals / von Hermann Kesting;;
P 1167a;1594891001;Kesting, Hermann: Der Befreier Arminius im Lichte der geschichtlichen Quellen und der wissenschaftlichen Forschung / von Hermann Kesting - 7. erw....;;
P 1167ab;1564795002;Kesting, Hermann: Der Befreier Arminius im Lichte der geschichtlichen Quellen und der wissenschaftlichen Forschung : Anhang: Ernst von Bandel und die Errichtung des Hermannsdenkmals... - 9. u. 10....;;
P 1167b;1594893001;Arminius und die Varusschlacht : Beiträge zu den Forschungen über die Zeit vor 1950 Jahren / hrsg. von Hermann Kesting;;
P 1167c;1704361001;Kesting, Hermann: Arminius : biography of the liberator, history of the monument / Hermann Kesting - 5th rev. ed.;;
P 1168 - 1;1594895001;"Frauen im Mittelalter 1. Frauenarbeit im Mittelalter : Quellen und Materialien. - 1983. - 365 S. : Ill. (Geschichtsdidaktik ; 14)";"Geschichtsdidaktik ; 14";
P 1168 - 2;1594897001;"Frauen im Mittelalter 2. Frauenbild und Frauenrechte in Kirche und Gesellschaft : Quellen und Materialien. - 1984. (Geschichtsdidaktik ; 19)";Geschichtsdidaktik;
P 1168h;712130005;Ketteler, Hermann: Technische Denkmäler im Kreis Steinfurt : Zeugen der Technikgeschichte / Hermann Ketteler;;
